Team,Conference
Air Force,Mountain West (Mountain)
Akron,Mid-American (East)
Alabama,Southeastern (West)
Appalachian St.,Sun Belt
Arizona,Pac 12 (South)
Arizona St.,Pac 12 (South)
Arkansas,Southeastern (West)
Arkansas St.,Sun Belt
Army West Point,Independents
Auburn,Southeastern (West)
BYU,Independents
Ball St.,Mid-American (West)
Baylor,Big 12
Boise St.,Mountain West (Mountain)
Boston College,Atlantic Coast (Atlantic)
Bowling Green,Mid-American (East)
Buffalo,Mid-American (East)
California,Pac 12 (North)
Central Mich.,Mid-American (West)
Charlotte,Conference  USA (East)
Cincinnati,American Athletic (East)
Clemson,Atlantic Coast (Atlantic)
Colorado,Pac 12 (South)
Colorado St.,Mountain West (Mountain)
Duke,Atlantic Coast (Coastal)
East Carolina,American Athletic (East)
Eastern Mich.,Mid-American (West)
FIU,Conference  USA (East)
Fla. Atlantic,Conference  USA (East)
Florida,Southeastern (East)
Florida St.,Atlantic Coast (Atlantic)
Fresno St.,Mountain West (West)
Ga. Southern,Sun Belt
Georgia,Southeastern (East)
Georgia St.,Sun Belt
Georgia Tech,Atlantic Coast (Coastal)
Hawaii,Mountain West (West)
Houston,American Athletic (West)
Idaho,Sun Belt
Illinois,Big Ten (West)
Indiana,Big Ten (East)
Iowa,Big Ten (West)
Iowa St.,Big 12
Kansas,Big 12
Kansas St.,Big 12
Kent St.,Mid-American (East)
Kentucky,Southeastern (East)
LSU,Southeastern (West)
La.-Monroe,Sun Belt
Louisiana Tech,Conference  USA (West)
Louisville,Atlantic Coast (Atlantic)
Marshall,Conference  USA (East)
Maryland,Big Ten (East)
Massachusetts,Independents
Memphis,American Athletic (West)
Miami (FL),Atlantic Coast (Coastal)
Miami (OH),Mid-American (East)
Michigan,Big Ten (East)
Michigan St.,Big Ten (East)
Middle Tenn.,Conference  USA (East)
Minnesota,Big Ten (West)
Mississippi St.,Southeastern (West)
Missouri,Southeastern (East)
Navy,American Athletic (West)
Nebraska,Big Ten (West)
Nevada,Mountain West (West)
New Mexico,Mountain West (Mountain)
New Mexico St.,Sun Belt
North Carolina,Atlantic Coast (Coastal)
North Carolina St.,Atlantic Coast (Atlantic)
North Texas,Conference  USA (West)
Northern Ill.,Mid-American (West)
Northwestern,Big Ten (West)
Notre Dame,Independents
Ohio,Mid-American (East)
Ohio St.,Big Ten (East)
Oklahoma,Big 12
Oklahoma St.,Big 12
Old Dominion,Conference  USA (East)
Ole Miss,Southeastern (West)
Oregon,Pac 12 (North)
Oregon St.,Pac 12 (North)
Penn St.,Big Ten (East)
Pittsburgh,Atlantic Coast (Coastal)
Purdue,Big Ten (West)
Rice,Conference  USA (West)
Rutgers,Big Ten (East)
SMU,American Athletic (West)
San Diego St.,Mountain West (West)
San Jose St.,Mountain West (West)
South Ala.,Sun Belt
South Carolina,Southeastern (East)
South Fla.,American Athletic (East)
Southern California,Pac 12 (South)
Southern Miss.,Conference  USA (West)
Stanford,Pac 12 (North)
Syracuse,Atlantic Coast (Atlantic)
TCU,Big 12
Temple,American Athletic (East)
Tennessee,Southeastern (East)
Texas,Big 12
Texas A&M,Southeastern (West)
Texas St.,Sun Belt
Texas Tech,Big 12
Toledo,Mid-American (West)
Troy,Sun Belt
Tulane,American Athletic (West)
Tulsa,American Athletic (West)
UCF,American Athletic (East)
UCLA,Pac 12 (South)
UConn,American Athletic (East)
UL Lafayette,Sun Belt
UNLV,Mountain West (West)
UTEP,Conference  USA (West)
UTSA,Conference  USA (West)
Utah,Pac 12 (South)
Utah St.,Mountain West (Mountain)
Vanderbilt,Southeastern (East)
Virginia,Atlantic Coast (Coastal)
Virginia Tech,Atlantic Coast (Coastal)
Wake Forest,Atlantic Coast (Atlantic)
Washington,Pac 12 (North)
Washington St.,Pac 12 (North)
West Virginia,Big 12
Western Ky.,Conference  USA (East)
Western Mich.,Mid-American (West)
Wisconsin,Big Ten (West)
Wyoming,Mountain West (Mountain)
Coastal Carolina,Sun Belt
UAB ,Conference USA (West)
